1,0,0,0
2,4,16,16
3,8,32,48
4,16,64,112
5,40,160,272
6,80,320,592
7,160,640,1232
8,320,1280,2512
9,640,2560,5072
10,1280,5120,10192
11,2560,10240,20432
12,5120,20480,40912
13,6400,25600,66512
14,8400,33600,100112
15,12000,48000,148112
16,16000,64000,212112
17,20500,82000,294112
18,25000,100000,394112
19,35000,140000,534112
20,50000,200000,734112
21,65000,260000,994112
22,82500,330000,1324112
23,100000,400000,1724112
24,120000,480000,2204112
25,150000,600000,2804112
26,180000,720000,3524112
27,216000,864000,4388112
28,252000,1008000,5396112
29,288000,1152000,6548112
30,324000,1296000,7844112
31,364000,1456000,9300112
32,412000,1648000,10948112
33,460000,1840000,12788112
34,512000,2048000,14836112
35,568000,2272000,17108112
36,632000,2528000,19636112
37,696000,2784000,22420112
38,768000,3072000,25492112
39,844000,3376000,28868112
40,924000,3696000,32564112
41,1012000,4048000,36612112
42,1104000,4416000,41028112
43,1200000,4800000,45828112
44,1304000,5216000,51044112
45,1416000,5664000,56708112
